Title,Date,Creator,Identifier,Recipient,Gender of Author,Age of Author,Identified People,Unidentified People,Subject,Geographic Subjects,Place Of Origin,Destination,Notes,Language,Transcript,Reference URL,CONTENTdm number,CONTENTdm file name
1884 July 12COMMA PhiladaCOMMA to Lillie,1884-07-12,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc0224,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,M,60-70,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,,FinanceCOMMA Personal; Carriages and carts,Philadelphia (Pa.),Philadelphia (Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14595,14595,12726.cpd
1884 July 10COMMA AwburyCOMMA to Lillie,1884-07-10,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc0223,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,M,60-70,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; RhoadsCOMMA James E. (James Evans)COMMA 1828-1895; MorrisCOMMA SamuelCOMMA 1827-1905; HartshorneCOMMA HenryCOMMA 1823-1897; HainesCOMMA Mary D. (Mary Drinker Cope)COMMA 1819-1890; YarnallCOMMA Margaret; CopeCOMMA AgnesCOMMA 1876-1899,Mildred; Elsie Brown,Society of Friends; God; Devil; Public worship--Society of Friends; Theology,Germantown (PhiladelphiaCOMMA Pa.),Germantown (PhiladelphiaCOMMA Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14600,14600,12731.cpd
1884 July 2COMMA WoodbourneCOMMA to Anna,1884-07-02,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc0222,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,60-70,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916; CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; WalkerCOMMA GeorgeCOMMA 1797-1891,,Clothing and dress--Care; Older people; Fires,,Woodbourne (Susquehanna CountyCOMMA Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14605,14605,12736.cpd
1883 September 5COMMA PhiladaCOMMA to Anna,1883-09-05,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc0221,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,60-70,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916; RhoadsCOMMA James E. (James Evans)COMMA 1828-1895; EvansCOMMA JonathanCOMMA 1843-1911; CopeCOMMA Thomas P. (Thomas Pim)COMMA 1852-1944; CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; StorkCOMMA Anna Brown CopeCOMMA b. 1862; HartshorneCOMMA Mary Elizabeth BrownCOMMA b. 1823; StokesCOMMA FrancisCOMMA 1833-1917; RhoadsCOMMA Margaret,Newhall family,Health; Outdoor recreation; Tennis,Philadelphia (Pa.),Philadelphia (Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14610,14610,12741.cpd
1883 August 30COMMA AwburyCOMMA to Anna,1883-08-30,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc0220,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,60-70,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916; CopeCOMMA Thomas P. (Thomas Pim)COMMA 1852-1944; EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,,Voyages and Travels; Society of Friends; Domestics; House painting; Earthquakes,Germantown (PhiladelphiaCOMMA Pa.),Germantown (PhiladelphiaCOMMA Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14615,14615,12746.cpd
1883 August 21COMMA AwburyCOMMA to Anna,1883-08-21,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc0219,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,60-70,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916; CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939; CopeCOMMA AlfredCOMMA 1857-1897; EvansCOMMA Anna CopeCOMMA 1875-1967; EvansCOMMA Francis AlgernonCOMMA 1878-1946; EvansCOMMA Edward W. (Edward Wyatt)COMMA 1882-1976; StorkCOMMA Anna Brown CopeCOMMA b. 1862,,Voyages and Travels; Children's books,Germantown (PhiladelphiaCOMMA Pa.); Newport (R.I.); Susquehanna County (Pa.),Germantown (PhiladelphiaCOMMA Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14618,14618,12749.cpd
1883 August 18COMMA PhiladaCOMMA to Anna,1883-08-18,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc0218,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,60-70,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916; YarnallCOMMA Margaret; CopeCOMMA AlfredCOMMA 1857-1897,Sammy; Dr. Schubert; Eugenia,,Philadelphia (Pa.),Philadelphia (Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14623,14623,12754.cpd
1883 August 12COMMA AwburyCOMMA to Anna,1883-08-12,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc0217,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,60-70,"CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916; CopeCOMMA WalterCOMMA 1861-1902; StorkCOMMA Anna Brown CopeCOMMA b. 1862; CopeCOMMA Caroline E. (Caroline Elizabeth)COMMA 1840-1944; BrownCOMMA Mary Farnum (""Mame"")",Aunt Catherine; Mary Irwin; Jonathan & John Haines; Margaret Robinson,Home economics; Butter,Germantown (PhiladelphiaCOMMA Pa.),Germantown (PhiladelphiaCOMMA Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14628,14628,12759.cpd
1883 July 29COMMA WoodbourneCOMMA to Anna,1883-07-29,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc0216,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,60-70,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916; MorrisCOMMA SamuelCOMMA 1827-1905; CopeCOMMA AlfredCOMMA 1857-1897; CopeCOMMA Caroline E. (Caroline Elizabeth)COMMA 1840-1944; CopeCOMMA Alexis T. (Alexis Thomas)COMMA 1850-1883,T.T. Munger; Mulford; Bushnell; Frederick Robertson,Horsemanship; Auroras; Weather; Health; Reading; Theology,Philadelphia (Pa.),Woodbourne (Susquehanna CountyCOMMA Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14633,14633,12764.cpd
1883 July 27COMMA WoodbourneCOMMA to Anna,1883-07-27,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc0215,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,60-70,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916; HarrisonCOMMA SmithCOMMA 1818-1883; CopeCOMMA Caroline E. (Caroline Elizabeth)COMMA 1840-1944; CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; CopeCOMMA AlfredCOMMA 1857-1897,Jane Harrison; Mary,Voyages and Travels; Health; Condolence notes; Quakers--England; Plant collecting,England; Woodbourne (Susquehanna CountyCOMMA Pa.),Woodbourne (Susquehanna CountyCOMMA Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14638,14638,12769.cpd
1882 July 19COMMA PhiladaCOMMA to Anna,1882-07-19,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc0214,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,60-70,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916; CopeCOMMA Francis HazenCOMMA 1859-1909; CopeCOMMA AlfredCOMMA 1857-1897; YarnallCOMMA Margaret; YarnallCOMMA Ellis H.COMMA 1817-1905; RhoadsCOMMA James E. (James Evans)COMMA 1828-1895; CopeCOMMA Caroline E. (Caroline Elizabeth)COMMA 1840-1944; CopeCOMMA AgnesCOMMA 1876-1899,George; James Emlen,Voyages and Travels; Family; God,Philadelphia (Pa.),Philadelphia (Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14642,14642,12773.cpd
1882 July 9COMMA AwburyCOMMA to Anna,1882-07-09,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc0213,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,60-70,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916; GladstoneCOMMA W. E. (William Ewart)COMMA 1809-1898; DisraeliCOMMA BenjaminCOMMA Earl of BeaconsfieldCOMMA 1804-1881; CopeCOMMA Caroline E. (Caroline Elizabeth)COMMA 1840-1944; CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; StokesCOMMA Hetty N. (Hetty Newlin)COMMA 1838-1899; CopeCOMMA AlfredCOMMA 1857-1897; CopeCOMMA Francis HazenCOMMA 1859-1909; DrinkerCOMMA FrancesCOMMA b. 1841; BrownCOMMA Elizabeth H.COMMA b. 1840?; BrownCOMMA Susanna SansomCOMMA 1826-1909,Susan; Mary; Phillip; Jonnie,Gossip; PoliticsCOMMA Practical; Health; Equestrian accidents,Germantown (PhiladelphiaCOMMA Pa.); Mount Desert Island (Me.); Newport (R.I.),Germantown (PhiladelphiaCOMMA Pa.),Newport (R.I.),,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14647,14647,12778.cpd
1881 August 20COMMA PhiladaCOMMA to Anna,1881-08-20,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc0212,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,60-70,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916; YarnallCOMMA Ellis H.COMMA 1817-1905; EvansCOMMA JonathanCOMMA 1843-1911,,,Philadelphia (Pa.); Newport (R.I.),Philadelphia (Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14651,14651,12782.cpd
1881 August 11COMMA AwburyCOMMA to Anna,1881-08-11,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc0211,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,60-70,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916; CopeCOMMA Thomas P. (Thomas Pim)COMMA 1852-1944; CopeCOMMA Francis HazenCOMMA 1859-1909,,Voyages and travels,Germantown (PhiladelphiaCOMMA Pa.); Point Judith Harbor of Refuge (R.I.); Newport (R.I.); Montrose (Susquehanna CountyCOMMA Pa.); Catskill (N.Y.),Germantown (PhiladelphiaCOMMA Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14656,14656,12787.cpd
1874 July 29COMMA LibertyCOMMA to Mr. Francis R. Cope,1874-07-29,BrownCOMMA William A.COMMA b. 1824,hsc0260,CopeCOMMA Francis ReeveCOMMA 1821-1909,M,40-50,PadgettCOMMA Preston; CampbellCOMMA SamuelCOMMA b. 1810; McCabeCOMMA Livingston; ThompsonCOMMA Oliver ,SaleCOMMA George; Gus. Preston,Segregation in education; School buildings; Schools--Virginia; School management and organization,Liberty (Va.),Liberty (Va.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14659,14659,12790.cpd
1894 June 2COMMA CamaldoliCOMMA to Mother,1894-06-02,CopeCOMMA Francis R. (Francis Reeve)COMMA 1878-1962,hsc0270,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,M,10-20,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; CopeCOMMA Thomas P. (Thomas Pim)COMMA 1852-1944; CopeCOMMA AgnesCOMMA 1876-1899; EmlenCOMMA Eleanor CopeCOMMA 1854-1920 ,Cousin Frank; Mr. Bradley,Nature; Voyages and Travels; Weather; Hotels; Ornithology; Ornithology--SocietiesCOMMA etc.; Letter writing; Italy--Description and Travel ,Camaldoli (Italy); Falterona Mountain (Italy); Vallombrosa (Italy); Casentino Valley (Italy); Arno River (Italy); Pontassieve (Italy); Stia (Italy); Florence (Italy) ,Camaldoli (Italy),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14671,14671,12802.cpd
1805 September 2COMMA PhiladelphiaCOMMA to Children,1805-09-02,CopeCOMMA Mary DrinkerCOMMA 1766-1825,hsc0290,CopeCOMMA FrancisCOMMA 1794-1816; CopeCOMMA HenryCOMMA 1793-1865; CopeCOMMA William D. (William Drinker)COMMA 1798-1873,F,30-40,CopeCOMMA FrancisCOMMA 1794-1816; CopeCOMMA HenryCOMMA 1793-1865; CopeCOMMA William D. (William Drinker)COMMA 1798-1873; YarnallCOMMA Caroline R. (Caroline Rachel) CopeCOMMA 1802-1881; DrinkerCOMMA HannahCOMMA 1774-1830; ThomasCOMMA John D.; DrinkerCOMMA HenryCOMMA 1757-1822; CopeCOMMA Marmaduke CooperCOMMA 1804-1897,Arthur,Voyages and Travels; Health; Whooping cough; Yellow fever;  Westtown Boarding School,Philadelphia (Pa.),Philadelphia (Pa.),Westtown Boarding SchoolCOMMA Westtown (Pa.),,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14685,14685,12816.cpd
1805 August 9COMMA PhiladelphiaCOMMA to FrancisCOMMA Weston,1805-08-09,CopeCOMMA Mary DrinkerCOMMA 1766-1825,hsc0289,CopeCOMMA FrancisCOMMA 1794-1816,F,30-40,CopeCOMMA FrancisCOMMA 1794-1816; CopeCOMMA HenryCOMMA 1793-1865; ShakespeareCOMMA WilliamCOMMA 1564-1616; CopeCOMMA Marmaduke CooperCOMMA 1804-1897,Mary; Caroline,Parental influences; God; Classical literature; Letter writing; Health; Gossip; Honesty; Teeth--Care and hygiene; Brothers and sisters; Westtown Boarding School,Philadelphia (Pa.),Philadelphia (Pa.),Westtown Boarding SchoolCOMMA Westtown (Pa.),,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14693,14693,12824.cpd
1804 July 18COMMA to Henry & Francis Cope,1904-07-18,CopeCOMMA Mary DrinkerCOMMA 1766-1825,hsc0286,CopeCOMMA FrancisCOMMA 1794-1816; CopeCOMMA HenryCOMMA 1793-1865,F,40-50,CopeCOMMA FrancisCOMMA 1794-1816; CopeCOMMA HenryCOMMA 1793-1865,,Classical literature; Parental influences; PanzaCOMMA Sancho (Fictitious character); Poetry,,,,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14698,14698,12829.cpd
1805 JulyCOMMA to Henry CopeCOMMA Weston,1805-07,CopeCOMMA Mary DrinkerCOMMA 1766-1825,hsc0288,CopeCOMMA HenryCOMMA 1793-1865,F,30-40,,,Parental influences; God,Bradford (Pa.),,Westtown Boarding SchoolCOMMA Westtown (Pa.),,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14703,14703,12834.cpd
1804 SeptemberCOMMA to Henry & Francis CopeCOMMA Weston,1804-09,CopeCOMMA Mary DrinkerCOMMA 1766-1825,hsc0287,CopeCOMMA HenryCOMMA 1793-1865; CopeCOMMA FrancisCOMMA 1794-1816,F,30-40,CopeCOMMA HenryCOMMA 1793-1865; CopeCOMMA FrancisCOMMA 1794-1816,,Parental influences; Counseling; Westtown Boarding School; Truth--Religious aspects--Society of Friends,,,Westtown Boarding SchoolCOMMA Westtown (Pa.),,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14707,14707,12838.cpd
1809 June 8COMMA BaltimoreCOMMA to Brother,1809-06-08,CopeCOMMA JasperCOMMA 1775-1856,hsc0285,CopeCOMMA Thomas P. (Thomas Pim)COMMA 1768-1854,M,30-40,CopeCOMMA Thomas P. (Thomas Pim)COMMA 1768-1854; CopeCOMMA CalebCOMMA 1736-1824; CopeCOMMA IsraelCOMMA 1770-1855; CopeCOMMA Mary MendenhallCOMMA 1738-1809; CranstonCOMMA Hannah CopeCOMMA 1778-1855,,Health; Family-owned business enterprises; Textile industry,Baltimore (Md.),Baltimore (Md.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14710,14710,12841.cpd
1901 December 8COMMA CambridgeCOMMA Mass.COMMA to Aunt Annette,1901-12-08,CopeCOMMA Francis R. (Francis Reeve)COMMA 1878-1962,hsc0281,CopeCOMMA AnnetteCOMMA 1843-1916,M,20-30,CopeCOMMA AnnetteCOMMA 1843-1916,Alice Clarke; Harry Foote; Peter Butler OlneyCOMMA Jr.,Health; Family; Gossip,Cambridge (Mass.); Salem (Mass.); Germantown (PhiladelphiaCOMMA Pa.),Cambridge (Mass.),Germantown (PhiladelphiaCOMMA Pa.),,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14728,14728,12859.cpd
1900 January 16COMMA HaverfordCOMMA to Mother,1900-01-16,CopeCOMMA Francis R. (Francis Reeve)COMMA 1878-1962,hsc0280,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,M,20-30,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,,Haverford College--Students; College students--Conduct of life; Books; Secret societies,,Haverford (Pa. : Township),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14732,14732,12863.cpd
1897 September 5COMMA WoodbourneCOMMA to Aunts,1897-09-05,CopeCOMMA Francis R. (Francis Reeve)COMMA 1878-1962,hsc0279,CopeCOMMA Caroline E. (Caroline Elizabeth)COMMA 1840-1944; CopeCOMMA AnnetteCOMMA 1843-1916,M,10-20,CopeCOMMA Caroline E. (Caroline Elizabeth)COMMA 1840-1944; CopeCOMMA AnnetteCOMMA 1843-1916; StoneCOMMA WitmerCOMMA 1866-1939; FooteCOMMA Eleanor Tyson CopeCOMMA 1879-1973,Mr. Thompson; Nellie,Voyages and Travels; Haverford College--Students; Haverford College--Buildings; Family; Death; Photography,Susquehanna County (Pa.); Catskill Mountains (N.Y.); Conanicut (Island : R.I.),Woodbourne (Susquehanna CountyCOMMA Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14740,14740,12871.cpd
1897 July 11COMMA WoodbourneCOMMA to Aunts,1897-07-11,CopeCOMMA Francis R. (Francis Reeve)COMMA 1878-1962,hsc0278,CopeCOMMA Caroline E. (Caroline Elizabeth)COMMA 1840-1944; CopeCOMMA AnnetteCOMMA 1843-1916,M,10-20,CopeCOMMA Caroline E. (Caroline Elizabeth)COMMA 1840-1944; CopeCOMMA AnnetteCOMMA 1843-1916; StoneCOMMA WitmerCOMMA 1866-1939; JusticeCOMMA Will,Mrs. Oliver; Miss Day,Voyages and Travels; Weather; Nature; Ornithology; Hotels,York Harbor (Me.); Maine; Mount Ararat (Pa.); Wayne County (Pa.); Conanicut (Island : R.I.),Woodbourne (Susquehanna CountyCOMMA Pa.),York Harbor (Me.),,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14764,14764,12895.cpd
1897 January 1COMMA AwburyCOMMA to Mother,1897-01-01,CopeCOMMA Francis R. (Francis Reeve)COMMA 1878-1962,hsc0277,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,M,10-20,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; CopeCOMMA Caroline E. (Caroline Elizabeth)COMMA 1840-1944; CopeCOMMA ClementineCOMMA 1835-1903; CopeCOMMA AnnetteCOMMA 1843-1916; CopeCOMMA Thomas P. (Thomas Pim)COMMA 1852-1944; CopeCOMMA AlfredCOMMA 1857-1897,,Voyages and Travels; Family; Health; FinanceCOMMA Personal; Gossip; Acquisition of property,Germantown (PhiladelphiaCOMMA Pa.),Germantown (PhiladelphiaCOMMA Pa.),,Carrew Co. watermark.,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14770,14770,12901.cpd
1895 June 28COMMA Lake TeedyuskungCOMMA to MotherCOMMA Dimock,1895-06-28,CopeCOMMA Francis R. (Francis Reeve)COMMA 1878-1962,hsc0275,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,M,10-20,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,,Voyages and Travels; Nature; Weather; Photography,Dimock (Pa.),Lake Teedyuskung (Pa.),Dimock (Pa.),,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14773,14773,12904.cpd
1895 June 26COMMA Lake TeedyuskungCOMMA to MotherCOMMA Dimock,1895-06-26,CopeCOMMA Francis R. (Francis Reeve)COMMA 1878-1962,hsc0274,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,M,10-20,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,Ana,Voyages and travels; Weather,,Lake Teedyuskung (Pa.),Dimock (Pa.),,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14776,14776,12907.cpd
1895 June 23COMMA HawleyCOMMA to MotherCOMMA Dimock,1895-06-23,CopeCOMMA Francis R. (Francis Reeve)COMMA 1878-1962,hsc0273,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,M,10-20,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,,Fishing; Nature; Voyages and Travels,Dimock (Pa.); Hawley (Pa.),Hawley (Pa.),Dimock (Pa.),,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14779,14779,12910.cpd
1895 June 21COMMA DundaffCOMMA to MotherCOMMA Dimock,1895-06-21,CopeCOMMA Francis R. (Francis Reeve)COMMA 1878-1962,hsc0272,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,M,10-20,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,,Boardinghouses; Voyages and Travels,Nicholson (Pa.),Dundaf (Pa.),Dimock (Pa.),,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14782,14782,12913.cpd
1894 August 18COMMA ParisCOMMA to MotherCOMMA Dimock,1894-08-18,CopeCOMMA Francis R. (Francis Reeve)COMMA 1878-1962,hsc0271,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,M,10-20,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,Uncle T.,Voyages and Travels; Europe--Description and Travel,Dimock (Pa.); Paris (France); Bern (Switzerland); London (England),Paris (France),Dimock (Pa.),,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14785,14785,12916.cpd
1894 June 2COMMA CamaldoliCOMMA to Mother,1894-06-02,CopeCOMMA Francis R. (Francis Reeve)COMMA 1878-1962,hsc0270a,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,M,10-20,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; CopeCOMMA Thomas P. (Thomas Pim)COMMA 1852-1944; CopeCOMMA AgnesCOMMA 1876-1899; EmlenCOMMA Eleanor CopeCOMMA 1854-1920,Cousin Frank; Mr. Bradley,Nature; Voyages and Travels; Weather; Hotels; Ornithology; Ornithology--SocietiesCOMMA etc.; Letter writing; Italy--Description and Travel,Camaldoli (Italy); Falterona Mountain (Italy); Vallombrosa (Italy); Casentino Valley (Italy); Arno River (Italy); Pontassieve (Italy); Stia (Italy); Florence (Italy),Camaldoli (Italy),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14797,14797,12928.cpd
1895 June 30COMMA HawleyCOMMA to MotherCOMMA Dimock,1895-06-30,CopeCOMMA Francis R. (Francis Reeve)COMMA 1878-1962,hsc0276,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,M,10-20,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,,Nature; Voyages and Travels,Hawley (Pa.); Dimock (Pa.); Waymart (Pa.),Hawley (Pa.),Dimock (Pa.),,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14801,14801,12932.cpd
1819 October 9COMMA PhiladelphiaCOMMA to Ellen,1819-10-09,CopeCOMMA Mary DrinkerCOMMA 1766-1825,hsc0314a,TysonCOMMA Eleanor CopeCOMMA 1807-1847,F,50-60,TysonCOMMA Eleanor CopeCOMMA 1807-1847; YarnallCOMMA Caroline R. (Caroline Rachel) CopeCOMMA 1802-1881; CopeCOMMA Thomas P. (Thomas Pim)COMMA 1768-1854; CopeCOMMA Mary MendenhallCOMMA 1738-1809; CopeCOMMA FrancisCOMMA 1794-1816; CopeCOMMA HenryCOMMA 1793-1865; CopeCOMMA IsraelCOMMA 1770-1855,Louisa; Joseph; Jem; Mariam; M.G.; Grandmother Drinker;,Etiquette; Family; Letter writing; Parent and child; Obedience,,Philadelphia (Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14806,14806,12937.cpd
1806 OctoberCOMMA to WilliamCOMMA Bradford,1806-10,CopeCOMMA Mary DrinkerCOMMA 1766-1825,hsc0291,CopeCOMMA William D. (William Drinker)COMMA 1798-1873,F,40-50,CopeCOMMA William D. (William Drinker)COMMA 1798-1873; YarnallCOMMA Caroline R. (Caroline Rachel) CopeCOMMA 1802-1881; CopeCOMMA AlfredCOMMA 1806-1875,,Society of Friends; Family; School attendance; Hats,Bradford (Pa.),,Bradford (Pa.),,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14810,14810,12941.cpd
1860 February 6COMMA to CousinCOMMA Philada,1860-02-06,CopeCOMMA HenryCOMMA 1850-1924,hsc0306,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,M,10-20,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,,Death; Health,Philadelphia (Pa.),,Philadelphia (Pa.),,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14813,14813,12944.cpd
1812 August 1COMMA PhiladaCOMMA to WilliamCOMMA New Garden,1812-08-01,CopeCOMMA Mary DrinkerCOMMA 1766-1825; CopeCOMMA HenryCOMMA 1793-1865,hsc0313,CopeCOMMA William D. (William Drinker)COMMA 1798-1873,F;M,40-50; 10-20,CopeCOMMA William D. (William Drinker)COMMA 1798-1873; YarnallCOMMA Caroline R. (Caroline Rachel) CopeCOMMA 1802-1881,Frederick; Sally String,Brothers and sisters; Family; Voyages and Travels; Shipping; God; Gossip; Teeth--Care and hygiene; United States--History--War of 1812,New Garden (Pa. : Township); Philadelphia (Pa.),Philadelphia (Pa.),New Garden (Pa. : Township),,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14820,14820,12951.cpd
1812 November 22COMMA PhiladaCOMMA to WilliamCOMMA New Garden Boarding School,1812-11-22,CopeCOMMA Mary DrinkerCOMMA 1766-1825; CopeCOMMA HenryCOMMA 1793-1865,hsc0299,CopeCOMMA William D. (William Drinker)COMMA 1798-1873,F;M,40-50; 10-20,CopeCOMMA William D. (William Drinker)COMMA 1798-1873; YarnallCOMMA Caroline R. (Caroline Rachel) CopeCOMMA 1802-1881; CopeCOMMA HenryCOMMA 1793-1865; KimberCOMMA JoshuaCOMMA 1792-1856,Aunt Eliza Cooper; Cousin Maryann C.,Health; Death; Perpetual motion; Shipping; PoliticsCOMMA Practical; Elections--United States; Birds,Philadelphia (Pa.),Philadelphia (Pa.),New Garden (Pa. : Township),,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/14829,14829,12960.cpd
